Mode,Channel,RMS,Kurtosis,Skewness,CrestFactor,DominantFreq_Hz
1,ch1,0.08504665755552616,2.8713956222179338,-0.00022330809898325909,3.3037245667606063,24974.150295186948
1,ch2,0.011387583615571835,6.346410371792536,-0.00526029802959388,6.390009529835463,24964.143957839962
1,ch3,0.010733966125497077,5.757318071707973,-0.014781375741598874,6.90631734260172,24964.143957839962
2,ch1,0.0019654584594306058,3.0416715853031544,-0.010294514734853086,4.950001262394448,20969.947633501215
2,ch2,0.0006767373100568313,18.252474365278427,-0.1976586233285312,9.68819452603236,11430.572696040825
2,ch3,0.00075932502266036,14.20021482100355,0.414968592413045,10.040506060801397,10129.74884093259
3,ch1,0.0008051843208019189,2.9824419804326947,-0.021557129385653285,4.688857545663809,20969.947633501215
3,ch2,0.00041110167503679716,17.189280504735777,-0.24154479424252923,9.330665700630417,11430.572696040825
3,ch3,0.0004480292418711979,13.885672992179803,0.450519931177862,9.873492055949429,10129.74884093259
4,ch1,0.00045321943144640864,2.9629848785569486,-0.02760772073788145,4.544279728712212,2741.7364330742803
4,ch2,0.00027977480151198145,16.538111216553805,-0.2526394621108823,9.167531094247304,11430.572696040825
4,ch3,0.0003003822726301435,13.751551308963704,0.45660016503491274,9.929947935629103,10129.74884093259
5,ch1,0.0002949270605927198,2.954582836803287,-0.030123020151101843,4.444540826582909,2741.7364330742803
5,ch2,0.0002034938053083155,16.086182349477873,-0.25593180210790845,9.07047634923501,11430.572696040825
5,ch3,0.00021636401580260928,13.661956788091086,0.4574040670710968,9.932326670232388,10129.74884093259
